id,date,text,user_id,user_name,retweeted,RT_text,RT_user_id,RT_user_name,location/country,location/city
1026920432040071200,Tue Aug 07 19:58:04 +0000 2018,@maralaska @DanielUrresti1 Cansados de promesas  ....oportunistas y personajes muy dudosos,784147083523682300,@SilvaLeguia,false,,,,,
1026920544824946700,Tue Aug 07 19:58:31 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,342986176,@Adelita42,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026920575359434800,Tue Aug 07 19:58:39 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,1360980025,@danedu2008,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026920582254932000,Tue Aug 07 19:58:40 +0000 2018,"RT @WaykaPeru: ¿Solidaridad Nacional o Criminal? Estos son los alcaldes detenidos, prófugos y setenciados del partido de Luis Castañeda (pa…",2304217174,@ElChangofutbol,true,"¿Solidaridad Nacional o Criminal? Estos son los alcaldes detenidos, prófugos y setenciados del partido de Luis Castañeda (padre e hijo) https://t.co/ywSkoakY7R",2180222485,@WaykaPeru,,
1026920677419491300,Tue Aug 07 19:59:03 +0000 2018,"RT @Bella15Anny: Así empezó el Caso Ciccone: Hace seis años atrás, Radio Mitre dio inicio a la investigación que llevó al ex vice de CFK a…",730212192595914800,@gatitafuriosa33,true,"Así empezó el Caso Ciccone: Hace seis años atrás, Radio Mitre dio inicio a la investigación que llevó al ex vice de CFK a prisión. “Mi esposo es testaferro de Boudou” denunció Muñoz en el primer programa de Lanata Sin Filtro.  https://t.co/7JzRqHMjpv",981192780180533200,@Bella15Anny,,
1026920790309187600,Tue Aug 07 19:59:30 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,4855723281,@BALCARCE3,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026920916486422500,Tue Aug 07 20:00:00 +0000 2018,"Daniel Urresti (@DanielUrresti1) presentó un video para acusar al fiscal Landa, pero en ningún momento se menciona a Luis Landa. ►https://t.co/fnYeo1LAAj https://t.co/ugbFLAt6oU",44932117,@Caretas,false,,,,,
1026921059373776900,Tue Aug 07 20:00:34 +0000 2018,@MEMEOPERU cuando vaya a prision luis castañeda,380422183,@fiorellagreen,false,,,,,
1026921081213526000,Tue Aug 07 20:00:39 +0000 2018,@DanielUrresti1 Lima necesita atención en todos los extremos recuperar terrenos de delincuentes  transportistas orden ambulatorio bajar ruidos realizar perifoneo de venta de frutas urgente orden limpieza respeto te apoyamos,979362615037235200,@CarlosL78833825,false,,,,,
1026921260058591200,Tue Aug 07 20:01:22 +0000 2018,RT @radiomitre: #Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanat…,2820909563,@emilioignacioL,true,#Audio | Así empezó el Caso Ciccone que condenó a Amado Boudou a 5 años y 10 meses de prisión: la entrevista de Jorge Lanata a Laura Muñoz en 2012. https://t.co/xHS1Pn5yfe,182923335,@radiomitre,,
1026921265637072900,Tue Aug 07 20:01:23 +0000 2018,"RT @eldossier_peru: El candidato de PP, Daniel Urresti, le regala un nuevo meme al señor R, quien sería el verdadero postulante a Lima de l…",84988358,@mediosperuanos,true,"El candidato de PP, Daniel Urresti, le regala un nuevo meme al señor R, quien sería el verdadero postulante a Lima de la presunta señora K. https://t.co/lwOHpPdTwf",862138271350108200,@eldossier_peru,,
1026921268950577200,Tue Aug 07 20:01:24 +0000 2018,RT @gracielaocana: 👏👏👏👏👏👏 https://t.co/kdiGiwU2Sk,3077891515,@alicia_vedia,true,👏👏👏👏👏👏 https://t.co/kdiGiwU2Sk,164335332,@gracielaocana,,
